2023-06-03 16:44:21,370 [INFO] admin_api_server: AdminApi initialized
2023-06-03 16:44:21,386 [DEBUG] admin_api_server: Provider Manager Initialized
2023-06-03 16:44:21,406 [INFO] admin_api_server: PublicAPI initialized
2023-06-03 16:44:21,410 [DEBUG] admin_api_server: Provider Manager Initialized
2023-06-03 17:08:33,270 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,307 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,314 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,323 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:33,478 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:42,437 [DEBUG] admin_api_server: Successfully authenticated request (system_info) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:42,444 [DEBUG] admin_api_server: License Check: Current Kasms (0) , License Limit (5) , Remaining (5)
2023-06-03 17:08:42,539 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:42,540 [DEBUG] admin_api_server: Successfully authenticated request (get_registries) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:42,550 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:44,865 [DEBUG] admin_api_server: Successfully authenticated request (update_registry) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:46,753 [DEBUG] admin_api_server: Successfully authenticated request (get_registries) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:46,757 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:58,836 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:08:58,860 [INFO] admin_api_server: Created Image (59fcfadb-acca-49c9-8365-ab0625a9d96a) - (kasmweb/ubuntu-jammy-desktop:1.13.1)
2023-06-03 17:09:03,432 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:09:03,454 [INFO] admin_api_server: Created Image (3a468284-1672-4078-8515-25bcb77bba77) - (kasmweb/vs-code:1.13.1)
2023-06-03 17:09:08,973 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:09:08,996 [INFO] admin_api_server: Created Image (2420c988-b650-48a0-b435-7fcbea3dbfdf) - (kasmweb/signal:1.13.1)
2023-06-03 17:09:19,464 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:09:19,483 [INFO] admin_api_server: Created Image (4c5479a9-c8f1-47fe-aab6-6ecfd9d09f3e) - (kasmweb/chrome:1.13.1)
2023-06-03 17:45:09,250 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,262 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,266 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,275 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,292 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,295 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,298 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,300 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,304 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:09,473 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,268 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,270 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,276 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,278 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,280 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:10,286 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,135 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,140 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,150 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,158 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,164 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,167 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,186 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,188 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,192 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,198 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,205 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,221 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,226 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:53,392 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:54,162 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:54,163 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:54,165 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:45:59,285 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:46:03,055 [DEBUG] admin_api_server: Successfully authenticated request (get_settings) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:46:24,075 [DEBUG] admin_api_server: Successfully authenticated request (get_url_filter_policies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:46:28,222 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:46:31,565 [DEBUG] admin_api_server: Successfully authenticated request (get_zones) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:46:31,565 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:52:16,551 [DEBUG] admin_api_server: Successfully authenticated request (update_connection_proxy) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:52:16,654 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,177 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,203 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,214 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,222 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,223 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,232 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,237 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,249 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,255 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,262 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,272 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,274 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,282 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,311 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,317 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,332 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:22,460 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:23,877 [DEBUG] admin_api_server: Successfully authenticated request (get_zones) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:28,438 [DEBUG] admin_api_server: Successfully authenticated request (get_zones) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:28,438 [DEBUG] admin_api_server: Successfully authenticated request (get_licenses) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:36,721 [DEBUG] admin_api_server: Successfully authenticated request (update_zone) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:36,728 [INFO] admin_api_server: Updated Zone (8405bd56-1e2a-457a-b6ab-f9aa93765e6a) - (default)
2023-06-03 17:53:36,821 [DEBUG] admin_api_server: Successfully authenticated request (get_zones) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:45,473 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:47,971 [DEBUG] admin_api_server: Successfully authenticated request (get_zones) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:47,972 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:53,818 [DEBUG] admin_api_server: Successfully authenticated request (update_connection_proxy) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:53:53,913 [DEBUG] admin_api_server: Successfully authenticated request (get_connection_proxies) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,184 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,192 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,196 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,197 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,199 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,201 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,203 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,204 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,205 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,210 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,211 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,232 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,259 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,271 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,278 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:17,552 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:19,934 [DEBUG] admin_api_server: Successfully authenticated request (get_images) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:23,443 [DEBUG] admin_api_server: Successfully authenticated request (system_info) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:23,449 [DEBUG] admin_api_server: License Check: Current Kasms (0) , License Limit (5) , Remaining (5)
2023-06-03 17:55:23,516 [DEBUG] admin_api_server: Successfully authenticated request (get_registries) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:23,520 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:23,542 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:23,713 [DEBUG] admin_api_server: Successfully authenticated request (update_registry) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:26,011 [DEBUG] admin_api_server: Successfully authenticated request (get_registries) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:26,015 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:29,427 [DEBUG] admin_api_server: Successfully authenticated request (update_registry) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:31,282 [DEBUG] admin_api_server: Successfully authenticated request (get_registries) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:31,286 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:43,330 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:43,352 [INFO] admin_api_server: Created Image (13730d0c-982d-4eb7-b3ca-496eac1f94dd) - (kasmweb/deluge:1.13.1)
2023-06-03 17:55:47,717 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:47,735 [INFO] admin_api_server: Created Image (021af954-26cb-43f6-bf05-1fec526d52ef) - (kasmweb/discord:develop-rolling)
2023-06-03 17:55:53,658 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:57,386 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:55:57,406 [INFO] admin_api_server: Created Image (63500017-ab75-4894-a0ec-0f0373f9adb8) - (kasmweb/inkscape:1.13.1)
2023-06-03 17:56:02,002 [DEBUG] admin_api_server: Successfully authenticated request (create_image) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:56:02,022 [INFO] admin_api_server: Created Image (af84b247-e60e-4375-89fe-74c4a0376ee3) - (kasmweb/kali-rolling-desktop:1.13.1)
2023-06-03 17:56:03,621 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:56:13,763 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:56:23,625 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 17:56:33,662 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:02:57,867 [DEBUG] admin_api_server: Successfully authenticated request (get_managers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,115 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,117 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,163 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,164 [DEBUG] admin_api_server: Successfully authenticated request (get_agent_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,165 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,169 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,172 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,182 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,187 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,190 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,196 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,199 [DEBUG] admin_api_server: Successfully authenticated request (get_kasms) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,201 [DEBUG] admin_api_server: Successfully authenticated request (get_servers) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,238 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,341 [DEBUG] admin_api_server: Successfully authenticated request (get_alert_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:33,507 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:42,347 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:42,351 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
2023-06-03 18:28:42,384 [DEBUG] admin_api_server: Successfully authenticated request (get_report) for user (admin@kasm.local) at (49.181.39.23, 172.18.0.1)
